id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,item_group_id,google_product_category,custom_label_0
COCH1000,Chopp Burbuja 1000 ml,<p>Capacidad 1200 ml</p><p>Caja de 10 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,8253.17 ARS,https://dc-inc-web-v3.vercel.app/producto/chopp-burbuja-1000-ml,https://cdn.sanity.io/images/4sov2yyo/production/c03a2a629114c0f0808da1c1b1014a2ee45b4ab3-1280x1280.png,,DC Inc,COCH1000,,
ROCH400,Chopp Conico 400 ml,<p>Capacidad 400 ml</p><p>Caja de 36 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,3979.73 ARS,https://dc-inc-web-v3.vercel.app/producto/chopp-conico-400-ml,https://cdn.sanity.io/images/4sov2yyo/production/bbf1ad911c434fed6a215caae575ce59719de0c0-1280x1280.jpg,,DC Inc,ROCH400,,
CLCH0450,Chopp Libertad 450 ml,<p>Capacidad 450 ml</p><p>Caja de 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,4690.12 ARS,https://dc-inc-web-v3.vercel.app/producto/chopp-libertad-450-ml,https://cdn.sanity.io/images/4sov2yyo/production/b4762430793743639002a585cb55fe30d649b235-1280x1280.png,,DC Inc,CLCH0450,,
NAOKT0355,Chopp Oktober 355 ml,<p>Capacidad 355 ml</p><p>Caja de 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,17752.90 ARS,https://dc-inc-web-v3.vercel.app/producto/chopp-oktober-355-ml,https://cdn.sanity.io/images/4sov2yyo/production/7f9953f041495f78f029f1c0125e963cf0b3c9a2-16001x16000.png,,DC Inc,NAOKT0355,,
ROCH410,Chopp Recto 400 ml,<p>Capacidad 500 ml</p><p>Caja de 36 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,3951.59 ARS,https://dc-inc-web-v3.vercel.app/producto/chopp-recto-400-ml,https://cdn.sanity.io/images/4sov2yyo/production/1982893cc221779317b4bcfc90a329687175ef78-1280x1280.jpg,,DC Inc,ROCH410,,
ROCH500,Chopp Recto 500 ml,<p>Capacidad 500 ml</p><p>Caja de 36 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,4322.10 ARS,https://dc-inc-web-v3.vercel.app/producto/chopp-recto-500-ml,https://cdn.sanity.io/images/4sov2yyo/production/b51dd9dc719368d485c11b0d7480734e644bce70-1280x1280.jpg,,DC Inc,ROCH500,,
NACT0100,Chupito Tequila 100 ml,"<p><span style=""font-family: var(--wix-font-stack.&quot;HelveticaNeueW01-55Roma&quot;.&quot;HelveticaNeueW02-55Roma&quot;.&quot;HelveticaNeueW10-55Roma&quot;.sans-serif);"">Chupito tequila.</span></p><p><span style=""font-family: var(--wix-font-stack.&quot;HelveticaNeueW01-55Roma&quot;.&quot;HelveticaNeueW02-55Roma&quot;.&quot;HelveticaNeueW10-55Roma&quot;.sans-serif);"">Capacidad 100 ml.</span></p><p>Caja de 24 unidades.</p><p>Opcional servicio de impresion.</p><p>&nbsp;</p>",in stock,new,1162.66 ARS,https://dc-inc-web-v3.vercel.app/producto/chupito-tequila-100-ml,https://cdn.sanity.io/images/4sov2yyo/production/fe9c1e51fe2f086fee854cfb5757cf6fc012efb8-1280x1280.png,,DC Inc,NACT0100,,
NACT0060,Chupito Tequila 60 ml,"<p><span style=""font-family: var(--wix-font-stack.&quot;HelveticaNeueW01-55Roma&quot;.&quot;HelveticaNeueW02-55Roma&quot;.&quot;HelveticaNeueW10-55Roma&quot;.sans-serif);"">Chupito tequila.</span></p><p><span style=""font-family: var(--wix-font-stack.&quot;HelveticaNeueW01-55Roma&quot;.&quot;HelveticaNeueW02-55Roma&quot;.&quot;HelveticaNeueW10-55Roma&quot;.sans-serif);"">Capacidad 60 ml.</span></p><p>Caja de 24 unidades.</p><p>Opcional servicio de impresion.</p><p>&nbsp;</p>",in stock,new,918.93 ARS,https://dc-inc-web-v3.vercel.app/producto/chupito-tequila-60-ml,https://cdn.sanity.io/images/4sov2yyo/production/fe9c1e51fe2f086fee854cfb5757cf6fc012efb8-1280x1280.png,,DC Inc,NACT0060,,
RICT0060,Chupito Tijuana 60 ml,"<p><span style=""font-family: var(--wix-font-stack.&quot;HelveticaNeueW01-55Roma&quot;.&quot;HelveticaNeueW02-55Roma&quot;.&quot;HelveticaNeueW10-55Roma&quot;.sans-serif);"">Chupito tequila.</span></p><p><span style=""font-family: var(--wix-font-stack.&quot;HelveticaNeueW01-55Roma&quot;.&quot;HelveticaNeueW02-55Roma&quot;.&quot;HelveticaNeueW10-55Roma&quot;.sans-serif);"">Capacidad 60 ml.</span></p><p>Caja de 36 unidades.</p><p>Opcional servicio de impresion.</p><p>&nbsp;</p>",in stock,new,700.05 ARS,https://dc-inc-web-v3.vercel.app/producto/chupito-tijuana-60-ml,https://cdn.sanity.io/images/4sov2yyo/production/533f4df12f9967811ec4291b70921c3ef81980a3-1280x1280.png,,DC Inc,RICT0060,,
NAAB0090,Copa Alambic 90 ml,<p>Capacidad 90 ml</p><p>Caja de 90&nbsp;ml: 12 unidades</p><p>Opcional servicio de impresion</p>,in stock,new,2386.27 ARS,https://dc-inc-web-v3.vercel.app/producto/copa-alambic-90-ml,https://cdn.sanity.io/images/4sov2yyo/production/bf06319a142fdbd84f0ec492a2a558979a453d2e-1280x1280.jpg,,DC Inc,NAAB0090,,
